;Q_ccet;Q_demand;Q_in_st-tes;Q_out_hp1;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_st-tes;Q_plb;Q_out_hp;MIPGap
1.0;1174458.4973145484;1172909.70330068;408939.6892335491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;407054.1219386413;336.7732810394224;0.0;0.036
1.01;1174023.7396287376;1172909.70330068;408276.22856662347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406418.3118044395;743.8804341262245;0.0;0.068
1.02;1174295.1146245461;1172909.70330068;408077.237224125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406218.95766960987;472.86823064913426;0.0;0.046
1.03;1174498.3845544192;1172909.70330068;408267.6208665283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406410.3724708473;268.56714194183644;0.0;0.028
1.04;1174565.7640587757;1172909.70330068;408233.0981692854;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406373.9550307093;203.08238048045445;0.0;0.026
1.05;1174689.9450312678;1172909.70330068;406163.6622490556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;404316.7850156717;66.63550279595043;0.0;0.012
1.06;1174307.3047339304;1172909.70330068;408794.2367766966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406945.0499296471;451.58541379885617;0.0;0.046
1.07;1174733.7911067642;1172909.70330068;406805.86588160857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;404962.49061499175;19.287460532546604;0.0;0.009
1.08;1174548.0331273177;1172909.70330068;408882.9712065133;0.0;0.0;0.0;0.0;0.0;0.0;0.0;407032.9477335628;211.6936463128829;0.0;0.028
1.09;1174665.8853921897;1172909.70330068;406929.37132159504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;405090.1962602429;82.99296984230882;0.0;0.016
1.1;1174501.3729228869;1172909.70330068;408903.24061466526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;407057.9404558039;253.6305366544925;0.0;0.031
1.11;1174506.2550063303;1172909.70330068;406278.0715594257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;404448.1978705422;233.32198323323885;0.0;0.021
1.12;1174387.2455981765;1172909.70330068;406691.4010233884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;404857.09062829294;356.7680975990214;0.0;0.035
1.13;1174432.0478198922;1172909.70330068;406653.1024875706;0.0;0.0;0.0;0.0;0.0;0.0;0.0;404824.5156655367;306.24230282186335;0.0;0.027
1.14;1174244.4727712325;1172909.70330068;405771.935626798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;403939.4180985322;497.7480577133389;0.0;0.047
1.15;1173971.2133352282;1172909.70330068;402358.871835671;0.0;0.0;0.0;0.0;0.0;0.0;0.0;400549.3111703708;748.0506307520649;0.0;0.011
1.16;1174641.907141733;1172909.70330068;404906.9129744358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;403070.4711005613;104.238032821554;0.0;0.024
1.17;1174081.465733915;1172909.70330068;401915.1075481073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;400099.5083069135;643.8368079586487;0.0;0.022
1.18;1173932.7747044603;1172909.70330068;400636.43482294906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;398829.7458439343;783.617575233877;0.0;0.026
1.19;1173744.2568191788;1172909.70330068;400177.7982650221;0.0;0.0;0.0;0.0;0.0;0.0;0.0;398375.0261190954;968.218627427894;0.0;0.017
1.2;1172762.4449776837;1172909.70330068;397380.7510440395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;395587.4307830187;1940.5785840174808;0.0;0.037
1.21;1172136.094775298;1172909.70330068;392953.6296111458;0.0;0.0;0.0;0.0;0.0;0.0;0.0;391177.908664254;2549.329472273602;0.0;0.008
1.22;1171249.196370555;1172909.70330068;388965.4093549366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;387206.9201618066;3418.9961232550804;0.0;0.007
1.23;1171618.9002444108;1172909.70330068;390501.99646643095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;388736.626872442;3056.172650258065;0.0;0.043
1.24;1171642.8603853758;1172909.70330068;390196.8586647009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;388442.8702108378;3020.8313691672142;0.0;0.029
1.25;1169862.4872071238;1172909.70330068;381684.9212882634;0.0;0.0;0.0;0.0;0.0;0.0;0.0;379972.19646111794;4759.940920701674;0.0;0.006
1.26;1170196.2084537512;1172909.70330068;383726.4023342808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;381993.7220562669;4446.175124942865;0.0;0.014
1.27;1168673.376125513;1172909.70330068;378777.56949776906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;377072.9395556535;5940.957117282272;0.0;0.058
1.28;1168581.404369261;1172909.70330068;375614.5149608414;0.0;0.0;0.0;0.0;0.0;0.0;0.0;373926.48197177553;6016.331920484659;0.0;0.006
1.29;1167858.2588392615;1172909.70330068;373799.5417794885;0.0;0.0;0.0;0.0;0.0;0.0;0.0;372115.1119507925;6735.874290114625;0.0;0.022
1.3;1161000.0922685754;1172909.70330068;369564.7718500968;7284.909285254469;0.0;0.0;0.0;0.0;0.0;0.0;367894.58200921805;6294.891587728665;7284.909285254469;0.067
1.31;1131823.126332667;1172909.70330068;350829.08887704834;38306.29349997788;0.0;0.0;0.0;0.0;0.0;0.0;349155.62850915594;4453.743835926567;38306.29349997788;0.122
1.32;1062588.7548337032;1172909.70330068;318584.98790216265;111109.36115635998;0.0;0.0;0.0;0.0;0.0;0.0;316844.5387980821;952.03641469373;111109.36115635998;0.444
1.33;984838.526247254;1172909.70330068;305804.55265489046;157854.5681121528;31416.18243014478;0.0;0.0;0.0;0.0;0.0;304088.6448882454;516.3342777644181;189270.7505422976;0.407
1.34;383115.95852355496;1172909.70330068;372487.1100668808;201766.3266036161;166951.94294358548;118450.38856149973;113621.9169984068;105987.82454257373;72547.59796524145;4983.4464348719775;370916.9302605844;7054.480533624986;784309.4440497952;0.12
1.35;275077.47523781867;1172909.70330068;390400.5933136819;205191.83947857708;135629.8178153329;133282.59708212796;121720.0760748764;114306.6631180944;101480.50914084008;78330.4922265922;388856.7394476787;9434.086992423558;889941.9949364411;0.043
1.36;253523.5680706156;1172909.70330068;392835.29602247983;213173.00789891387;157602.65251217617;150616.43672372913;132063.1926219964;118730.96629685342;87255.58722470219;51379.54385660024;391296.3742074687;10103.669910104136;910821.3871349712;0.039
1.37;238280.5724544917;1172909.70330068;394273.4386844553;199520.055654292;183790.0484337092;138629.1539171872;118930.89378216727;107567.08076303478;96168.5301650776;82052.65659383277;392724.7325419704;9519.417679372338;926658.4193093008;0.054
1.38;220383.8966533932;1172909.70330068;396508.0652287064;196574.2721036476;174142.2726526708;161730.3982762214;154979.86797096685;119011.74090726711;92064.46296333284;44586.53597997916;394972.9263403617;10971.394681545697;943089.5508540858;0.065
1.39;204823.8211528046;1172909.70330068;396095.1803539157;233196.6194784888;234801.39045849588;233943.4548905668;74628.90269981923;74774.45056740491;70747.88674429238;35616.278847211586;394579.97679752967;11892.10201798187;957708.9836862796;0.094
1.4;193177.34764098967;1172909.70330068;392412.94433346577;216419.7441906168;187999.9427033429;178152.85660438714;105375.34529354252;100405.72934520314;92431.09146763434;88036.04243829344;390886.86544441;12437.682505732104;968820.7520430204;0.093
1.41;186330.87719163927;1172909.70330068;391404.147556404;239622.12774040672;221177.91285193228;115550.7947214878;109737.74908672312;106479.57203622317;104627.9429076358;79229.5443183273;389871.8187969393;11685.51120577328;976425.6436627364;0.097
1.42;180570.6071392768;1172909.70330068;390621.7376762703;242416.3425483146;181943.0972921356;159284.37641439337;116273.2505166909;107234.2414370913;98077.77534609027;76832.52479364877;389093.186434851;11806.039054464074;982061.6083483648;0.095
1.43;176549.24157488614;1172909.70330068;386974.625616464;177459.92221763555;169956.68172371894;158742.5829081256;159198.24797614018;150935.6569247497;104114.71854189465;65704.97833452198;385448.24608010246;11774.052635370628;986112.7886267866;0.09
1.44;171535.57354583053;1172909.70330068;386788.25624584814;187984.98260664017;172228.4849871258;152584.3033074753;135734.68674689397;123703.87005335162;114029.49502052036;106085.56159946109;385259.26079039375;10551.740888832994;992351.3843214682;0.094
1.45;169158.43906662133;1172909.70330068;385263.0509808963;201083.5947626171;192464.3382877252;161299.3772666497;121285.5404875521;121095.86456934352;102712.4219654652;95823.38719285856;383738.81549788255;9510.975184861756;995764.5245322116;0.116
1.46;167573.72270553236;1172909.70330068;385261.3527619044;216376.0239643276;197509.5604484079;173063.73708603106;137590.27205430504;108414.00286253844;93669.81724758632;71329.70912093957;383731.8484861136;8912.362086801615;997953.122784136;0.099
1.47;166663.11223472268;1172909.70330068;384087.5586058779;248585.66789104065;226645.2868922988;222473.459335628;96815.48365016717;92879.49082939522;77352.29555149446;34673.86097982946;382545.1539040446;8363.450637937034;999425.5451298538;0.093
1.48;165765.80934168556;1172909.70330068;384077.8213088893;245045.13368576343;196700.733606898;179754.35662618504;104638.7575101025;102601.98354249336;94405.02288095068;77687.27777405427;382532.77051976207;7855.679121670326;1000833.2656264474;0.112
1.49;164356.42996720586;1172909.70330068;383203.08461459086;211835.9622997005;191720.1125010196;173520.63755842502;132781.4678021974;131117.3632933918;100226.82270576835;62234.35837828745;381655.3576158615;6664.275793413326;1003436.7245387904;0.099
1.5;163314.02031125166;1172909.70330068;382762.3637213892;249900.82164206565;221629.11018578016;193468.22640638656;138444.44162589728;92875.07665175344;60801.66853334181;47758.6116435431;381198.0107189642;6282.079303084439;1004877.956688768;0.115
1.51;161935.88464571658;1172909.70330068;382892.5220473464;201405.81083563017;195810.7679125484;160399.7340284821;152239.48784179505;133462.53031464943;108953.69556792402;54930.05148382967;381321.4459947109;5342.816722740092;1007202.077984859;0.094
1.52;161140.6498535669;1172909.70330068;381781.5468210406;251140.4596253135;234156.9494729032;207050.0185243321;197143.0029448627;79639.33927938313;23402.706731955528;15496.059759279357;380212.7107149394;5309.35321518479;1008028.5363380295;0.086
1.53;160065.99743655132;1172909.70330068;381805.7357715887;251458.6384370744;213296.8714230734;140163.116890668;120479.4767017862;98484.70634042547;96284.33465303136;89750.6292058898;380231.5210470201;4500.14693674612;1009917.7736519488;0.123
1.54;158659.5481756051;1172909.70330068;381744.6815681348;251161.8246807197;194394.5429154748;185483.81730299865;134100.10430125505;96681.9968948625;82695.45999261217;66773.19343879726;380162.5929392684;4541.304227222429;1011290.93952672;0.185
1.55;157941.76246211637;1172909.70330068;381558.337217334;251495.060459575;163871.35458003846;163569.41060127702;120121.815781026;105331.55926102729;108760.7365307058;98891.77088338234;379978.5659279484;4506.004030916387;1012041.708097032;0.198
1.56;156551.4221189721;1172909.70330068;380583.6306588808;202078.3722780637;197540.05212619217;170390.91042095522;136477.7571867829;120431.62878836534;96241.44583596244;90933.86920857494;379003.3664075668;3844.5095881249295;1014094.0358448968;0.223
1.5699999999999998;155381.81111980433;1172909.70330068;382565.0139303843;250213.03210519528;250501.712938084;213012.1398113005;97996.6984374013;76059.39339785402;65086.78592615297;62068.06579224994;380980.44869728247;4174.6290057397255;1014937.828408238;0.139
1.58;154528.37549170136;1172909.70330068;381961.5334654859;250135.64585867416;228914.6430298083;226596.05902763316;93199.52801932054;84817.69034134636;71728.22924841254;61156.42650270209;380371.4872575429;3423.151989024149;1016548.2220278973;0.142
1.5899999999999999;153747.43544176873;1172909.70330068;381015.16589456436;226998.74967408337;208160.29344440048;181050.1348949537;145171.6630600939;100119.87938620246;84030.5600294375;72122.05158934665;379431.11630549625;3092.9853694606436;1017653.332078518;0.155
1.6;151815.44506348768;1172909.70330068;377819.1257516153;247909.76659032924;245300.9704774877;123964.25249679745;115551.44738508612;107918.54673464266;95210.19927463072;83104.73554886851;376233.4764093887;3719.9890715764977;1018959.9185078426;0.132
1.6099999999999999;151368.47847276655;1172909.70330068;380340.55796084495;250974.51680393977;215159.64683739637;191502.1876367094;106960.28907609673;97780.49976945115;90131.6735838736;68190.14166414854;378755.19748651143;2427.629930631324;1020698.9553716155;0.123
1.62;149471.31803600898;1172909.70330068;379698.8235575225;241902.59301147392;155690.89175646484;145841.69385292617;146721.3610995282;122611.85127164262;113270.32848592233;97037.82993841058;378108.1353170871;1952.5240887367554;1023076.5494163686;0.199
1.63;147280.26594851114;1172909.70330068;377994.31916803593;252134.4033957284;250271.59801646182;154791.34242579687;100923.6361660667;93857.8506429365;93063.71931335438;80318.58124322206;376401.11322122;1861.5120954179397;1025361.1312035667;0.165
1.6400000000000001;144136.10570307646;1172909.70330068;375493.40658184886;223216.45736109768;171525.6207106937;141354.36071976833;142714.627704244;122801.7889925208;121915.32487249414;104643.36014945072;373910.48102624255;2184.98264295941;1028171.5405102693;0.218
1.65;142554.4037553144;1172909.70330068;372525.95776353305;251562.51896919383;170224.15172378696;150231.32772007943;130256.9740959463;129085.80660275352;106780.46978677472;91922.99378268312;370950.3255243968;1866.689096488304;1030064.2426812178;0.127
1.6600000000000001;138841.11036057025;1172909.70330068;372305.86416190217;194396.36578205758;174086.58329641528;165750.6642388958;137322.8716259318;122272.01998677093;129081.21335020829;111371.72627149991;370736.08005764335;1356.9324925945812;1034281.4445517794;0.307
1.67;133661.50814991604;1172909.70330068;370974.04268196697;236603.38934248057;209794.52510470347;200020.18024539953;151547.74706112695;129133.70659038782;81051.92953839833;31603.148286304197;369418.3446472207;1049.2670167147762;1039754.626168801;0.374
1.6800000000000002;126513.46401648462;1172909.70330068;365380.30976486823;191673.74958726577;170129.6716009599;156926.01927126804;137231.13903067278;134505.34931629538;133506.80636531833;122842.20713929011;363834.7642518145;1126.8424861787782;1046814.9423110703;0.284
1.69;115008.01521879756;1172909.70330068;376084.26710592007;213561.5271605238;179032.28294485115;166612.21882142697;183094.40369937825;155350.7342380134;103279.90194440194;58479.86280221483;374538.66050614906;36.363070843116176;1059410.9316108103;0.333
1.7;94844.32492373872;1172909.70330068;408543.3967658462;190977.49664624373;182898.357604418;214614.35972095147;177869.41131447157;148800.5234797694;104772.39371058918;59695.36588017337;406941.502860655;39.363925515633625;1079627.9083566167;0.144
1.71;71927.78007201405;1172909.70330068;450414.7180811197;187119.57456173524;198438.7114483928;183322.44725688847;159720.38452058972;145165.42126097434;140182.52482898653;88695.1637509805;448752.2713681985;0.1423130396146916;1102644.2276285477;0.099
1.72;39589.78988795092;1172909.70330068;506564.54438007815;195488.7066502499;195961.2410404441;198795.73572945248;178526.29381773347;162069.7211530444;160565.7906709631;43633.2756054942;504836.6001820794;7.092943346030028;1135040.7646673818;0.097
1.73;12678.50570613612;1172909.70330068;551632.3235070095;184686.14971616564;184903.1549232837;185499.80001186533;185840.06529459907;177299.2852873971;154492.55250807927;89294.82935918936;549844.8863066474;2.7976943265406646;1162015.8371005796;0.088
1.74;0.0;1172909.70330068;568963.3777493624;188768.31269198665;186645.62639950565;178719.0081462203;175650.93915666465;168656.89862940536;146596.7331781192;129497.11992611724;567172.070038311;166.37288371232927;1174534.638128019;0.063
1.75;0.0;1172909.70330068;568974.9919756717;188371.08534124083;185310.3310274647;179298.4013969885;176817.4601827731;155773.10256534434;144718.78040381183;144246.4356155013;567185.6564771108;163.44226611628795;1174535.5965331248;0.062
1.76;0.0;1172909.70330068;568860.7383100396;188413.93180828553;186540.0018248897;182195.70190074563;182364.1553516854;153963.06441468679;143094.29341707332;138014.01688578216;567070.7484951683;114.5275124027396;1174585.1656031483;0.05
1.77;0.0;1172909.70330068;568902.8034559997;188449.77412208478;188870.5307389706;188571.29437181063;176236.1658248491;158808.49274187235;156430.9362525615;117218.53008293155;567111.8395852704;114.9430363287014;1174585.7241350806;0.059
1.78;0.0;1172909.70330068;568787.3624982673;183777.65938349953;182674.47259893184;182026.97991487168;179317.8479091959;148994.33616672648;148896.7127658131;148862.03962556247;566997.8349169984;149.182517348042;1174550.0483646009;0.063
1.79;0.0;1172909.70330068;568940.4023827235;188664.75157609986;186207.9679025062;183537.16623497114;177917.54091419923;174777.84172974835;135239.7325654699;128226.88448072407;567149.8545269906;128.3657526941479;1174571.8854037188;0.062
1.8;0.0;1172909.70330068;568939.5097732642;188467.21764895043;186472.9993703692;180262.44178712327;171202.4428006326;168469.38978069328;169214.70449761787;110455.87667698484;567149.5108378457;154.62967372682823;1174545.0725623714;0.063
