;LCOH;Total Emissions DM;Total Emissions OM;allowed_bew_invest_bonus;balance_total;ccet_chp_bonus_real;cost_el;cost_el_grid;cost_el_internal;cost_gas;cost_total;gap;invest_total;net present value;objective;op_cost_total;revenues_chpbonus;revenues_heat;revenues_hp_bew_op_bonus;revenues_spotmarket;revenues_total;total_bew_invest_bonus;total_heat_demand
1.41;61.20497239281492;1.9429721251779457e+19;106239.72992947401;0.0;31090830.269322492;34.26932522324538;14672006.64068374;9007277.060664348;5664729.580019393;45496272.58132981;66933790.16304723;0.0973314407983203;160384231.0969771;227076235.44352877;-26550487.57665415;6765510.941033683;0.0;90009090.63129418;0.0;8015529.801075552;98024620.43236972;0.0;1172909.70330068
1.42;61.36556426787845;1.948994635231364e+19;106883.6216830795;0.0;30843945.9318825;34.27184317716311;14936594.928402353;9267293.353407457;5669301.574994896;44359609.964422174;65998447.70354442;0.0953907307321115;159654885.6090549;224728856.38799515;-26311710.0332333;6702242.8107199;0.0;90009090.63129418;0.0;6833303.004132743;96842393.63542692;0.0;1172909.70330068
1.43;61.51661524724821;2.012316580709786e+19;106881.96257158363;0.0;30601565.755582333;34.27305466003065;15165775.447143596;9497777.50263381;5667997.944509787;43619047.95598426;65436342.00215563;0.09034359435188076;158842212.1997425;222520937.05739295;-26080096.968311124;6651518.599027785;0.0;90009090.63129418;0.0;6028817.126443785;96037907.75773796;0.0;1172909.70330068
1.44;61.69276946538608;1.945357720003907e+19;107062.31167742632;0.0;30376522.15232031;34.27459900241442;15532433.911040489;9871174.949642317;5661258.96139817;42542501.13634998;64674944.73575574;0.09386171093718561;158612526.04210454;219946082.49493647;-25852318.74490544;6600009.688365275;0.0;90009090.63129418;0.0;5042376.256781873;95051466.88807605;0.0;1172909.70330068
1.45;61.86936077521874;1.9850476282020016e+19;107248.40029928676;0.0;30136751.8552572;34.2755243129981;15743634.250610096;10082830.091481203;5660804.159128893;42110866.37952646;64421593.390920326;0.11630217033419521;158205701.7187033;217364838.94244394;-25625003.527205974;6567092.760783769;0.0;90009090.63129418;0.0;4549254.6148833465;94558345.24617752;0.0;1172909.70330068
1.46;62.0395440612207;1.9508685259732263e+19;107113.36512720026;0.0;29935236.074149415;34.2764969422764;15948173.699448604;10306458.295971092;5641715.403477511;41898944.93536779;64394880.66083552;0.09851302342260959;158181946.8313895;214877261.7782513;-25410481.48171067;6547762.0260191215;0.0;90009090.63129418;0.0;4321026.103690751;94330116.73498493;0.0;1172909.70330068
1.47;62.1376175904526;1.9469911951613366e+19;107197.34401185098;0.0;29736909.084946156;34.27708300581426;16063281.277887639;10426666.634821696;5636614.6430659415;41852924.93345673;64422515.24867654;0.09260492917069517;157143899.60426962;213443716.3493175;-25194829.731055774;6506309.0373321725;0.0;90009090.63129418;0.0;4150333.702328517;94159424.3336227;0.0;1172909.70330068
1.48;62.325058131433714;1.9475858849254556e+19;107109.7763156959;0.0;29516620.748778865;34.27714294825059;16206928.13803475;10581299.450473174;5625628.687561575;41810426.46098163;64514319.373777196;0.112127040704221;157138447.30177128;210703889.0704909;-24974005.628330894;6496964.774760812;0.0;90009090.63129418;0.0;4021849.491261887;94030940.12255606;0.0;1172909.70330068
1.49;62.26289747248017;2.015128027214052e+19;107332.99373582908;0.0;29377819.222557656;34.27897205053436;16361950.41759096;10737473.737277843;5624476.680313119;41587761.758579165;64343117.27534828;0.098657524087747;154500068.1856011;211612494.37102678;-24763231.709570453;6393405.09917816;0.0;90009090.63129418;0.0;3711845.866611762;93720936.49790594;0.0;1172909.70330068
1.5;62.44415648970516;2.021810809016619e+19;107415.3900389578;0.0;29158783.18887087;34.27914819695906;16507911.04855965;10895743.5016561;5612167.546903551;41511629.43561955;64401582.51283582;0.1150634544131206;154419866.71406123;208963022.71816626;-24546822.541364294;6382042.028656621;0.0;90009090.63129418;0.0;3551275.0704125166;93560365.7017067;0.0;1172909.70330068
1.51;62.60923269249673;2.029179703117188e+19;107303.83705211792;0.0;28963134.98426403;34.279943159610575;16701795.250272784;11102843.63333062;5598951.616942164;41307028.277184114;64372069.44649635;0.09391840757421288;154394584.32176077;206550096.03151596;-24341221.73039978;6363245.919039459;0.0;90009090.63129418;0.0;3326113.7994662113;93335204.43076038;0.0;1172909.70330068
1.52;62.76779501170633;2.0269590319021855e+19;107206.22010605823;0.0;28749233.609571368;34.2810373285382;16836631.359510053;11252563.984359106;5584067.375150948;41312697.455187164;64496343.651859105;0.08586613649812812;154046613.33912647;204232383.09017187;-24134044.64840571;6347014.837161886;0.0;90009090.63129418;0.0;3236486.6301363027;93245577.26143047;0.0;1172909.70330068
1.53;62.960247816361246;2.0286516340722045e+19;106959.05743888387;0.0;28539039.423717752;34.280620066403294;17052572.389262307;11487923.576636726;5564648.8126255805;41187757.54480943;64580461.988758296;0.12309092272791838;154240220.95694464;201419291.315467;-23917326.941038333;6340132.054686564;0.0;90009090.63129418;0.0;3110410.781181867;93119501.41247605;0.0;1172909.70330068
1.54;63.10959724590782;2.0343824291180065e+19;106877.70074989618;0.0;28321108.46594549;34.28364864353804;17325115.35563042;11792885.970136756;5532229.385493662;41037380.28986509;64671878.5454536;0.18503773703362644;153707367.21715873;199236243.61934376;-23696430.338497534;6309382.899958092;0.0;90009090.63129418;0.0;2983896.3801049097;92992987.01139909;0.0;1172909.70330068
1.55;63.29131162856786;2.0334978946656362e+19;106618.96425525441;0.0;28115271.879854962;34.28336282937951;17468384.7728547;11954804.001263151;5513580.771591549;41055268.90783593;64830578.6541578;0.1977255081721788;153798316.13613346;196580115.86831853;-23488750.937795646;6306924.973467174;0.0;90009090.63129418;0.0;2936759.902718584;92945850.53401276;0.0;1172909.70330068
1.56;63.44035618635499;2.0398993034797027e+19;106472.47916222448;0.0;27915557.698012322;34.28545939514625;17758441.678688467;12275185.43261904;5483256.246069428;40850141.30370782;64887910.594812825;0.22322146715846883;153488027.36477578;194401524.49716496;-23279631.347664624;6279327.612416534;0.0;90009090.63129418;0.0;2794377.661530978;92803468.29282515;0.0;1172909.70330068
1.57;63.56708264256459;2.048196886301742e+19;106218.17555147334;0.0;27748227.248087674;34.287625130884216;17922083.22597603;12464990.797050374;5457092.428925659;40773040.71244968;64954814.05501582;0.1394994070489718;153255086.72283113;192549157.87543678;-23097329.29984501;6259690.116590107;0.0;90009090.63129418;0.0;2693950.6718093115;92703041.30310349;0.0;1172909.70330068
1.58;63.736014880537894;2.0734515042662007e+19;106019.47638504831;0.0;27553938.380362347;34.2879009394425;18115603.737280134;12676173.165251836;5439430.572028297;40694122.65830439;65058892.22454198;0.1417428342433098;153303108.5218379;190079867.3396231;-22896138.4444331;6249165.828957443;0.0;90009090.63129418;0.0;2603739.9736101436;92612830.60490432;0.0;1172909.70330068
1.59;63.91141271008156;2.0725900148349272e+19;106047.08604906147;0.0;27358269.97282914;34.28776389934488;18213791.54237532;12781898.604857253;5431892.937518067;40663531.26444958;65121823.936967306;0.15462923793067984;153428446.06426457;187516068.94512776;-22694238.505327653;6244501.130142408;0.0;90009090.63129418;0.0;2471003.2785022715;92480093.90979645;0.0;1172909.70330068
1.6;63.98897599302495;2.060170087672323e+19;106037.7933220816;0.0;27149075.9843726;34.29407023438993;18593397.803276464;13209384.418586528;5384013.384689938;40399627.44605973;65178279.617311195;0.13215322302887295;151955172.76374847;186382322.7591036;-22501520.11807967;6185254.367974996;0.0;90009090.63129418;0.0;2318264.970389613;92327355.6016838;0.0;1172909.70330068
1.61;63.33463578979083;2.0764897529296785e+19;105759.8442274935;0.0;27273395.35457938;34.29298108521119;18715248.91449792;13339859.298148548;5375389.616349369;40378253.89931067;65000113.85848848;0.12288026347488723;143939945.11539477;195946844.54862624;-22307234.12737707;5906611.044679891;0.0;90009090.63129418;0.0;2264418.581773683;92273509.21306786;0.0;1172909.70330068
1.62;63.42728716631133;2.083215252752159e+19;105433.15211968601;0.0;27088645.054488674;34.296146812590386;19197455.519270606;13877884.975032529;5319570.544238078;40030860.593388066;65082882.66485211;0.19860244977045255;142991837.58036664;194592554.9830766;-22095667.079593673;5854566.552193443;0.0;90009090.63129418;0.0;2162437.0880466118;92171527.71934079;0.0;1172909.70330068
1.63;63.53384145558606;2.0973830353477673e+19;105091.21303133456;0.0;26922225.914750412;34.299706003461964;19564275.622200362;14288314.463780444;5275961.158419916;39629206.390085;65008499.40289129;0.16492536758048232;142475396.35669148;193035045.88230902;-21911217.45810662;5815017.390605933;0.0;90009090.63129418;0.0;1921634.6863475272;91930725.3176417;0.0;1172909.70330068
1.64;63.68944687060221;2.1079871064568484e+19;104571.24874717936;0.0;26695513.367211156;34.30753677796411;20335147.31759113;15157863.644021388;5177283.673569744;38997371.825456105;65102917.064469285;0.21804419019891105;141924548.63445097;190760554.14982224;-21711038.827753022;5770397.92142205;0.0;90009090.63129418;0.0;1789339.8003862614;91798430.43168044;0.0;1172909.70330068
1.65;63.74436149042022;2.11685246975871e+19;104096.05060574501;0.0;26554118.161000937;34.31093949294226;20648495.168059394;15507714.499610415;5140780.668448978;38730400.50643422;65100409.78943525;0.1273348534142471;140965141.43600565;189957864.547049;-21544610.507021237;5721514.114941645;0.0;90009090.63129418;0.0;1645437.3191420208;91654527.95043619;0.0;1172909.70330068
1.66;63.90984096074659;2.144254490620616e+19;102835.82123227761;0.0;26351075.185966842;34.3171255802327;21701620.255968623;16693522.05006211;5008098.205906512;37864395.019693434;65242240.679359354;0.3067178789417589;140853598.43989116;187539043.27971345;-21324042.149086818;5676225.403697297;0.0;90009090.63129418;0.0;1584225.234032023;91593315.8653262;0.0;1172909.70330068
1.67;63.94074830969545;2.1081058747543052e+19;101408.1505631154;0.0;26223235.025756665;34.32860953965536;22999677.48672854;18156875.039705236;4842802.447023308;36603779.16771443;65181630.572541125;0.37371878588700164;139712201.65881413;187087269.09402728;-21132975.827878773;5578173.918098148;0.0;90009090.63129418;0.0;1395774.9670036188;91404865.59829779;0.0;1172909.70330068
1.68;63.89160015710134;2.1285527971051282e+19;100346.61917605037;0.0;26068389.82202796;34.352173413855105;24790286.344483167;20171093.438952133;4619192.905531035;34819809.152915984;65034185.86098892;0.28423374199251733;137064087.28158593;187805669.97185487;-20982110.88653145;5424090.363589773;0.0;90009090.63129418;0.0;1093485.0517227012;91102575.68301688;0.0;1172909.70330068
1.69;63.244331024041365;2.1002470156923048e+19;97077.8067545435;0.0;26187926.345159918;34.38676375306552;27969389.2439436;23756207.602782447;4213181.641161157;31722634.39984728;64723511.17200649;0.3330651014802483;129092612.95510371;197266833.59322345;-20815086.47665477;5031487.528215607;0.0;90009090.63129418;0.0;902346.8858722312;90911437.5171664;0.0;1172909.70330068
1.7;62.7821991865937;1.5502473898009633e+19;92593.48205844234;0.0;26321973.357872546;34.47313584999462;33383652.714428794;29888959.75770717;3494692.9567216216;26283531.753515054;64302333.38137217;0.14381957894090183;124008132.03396478;204021836.5825763;-20717301.64748919;4635148.913428324;0.0;90009090.63129418;0.0;615216.1079505346;90624306.73924471;0.0;1172909.70330068
1.71;62.10228300420715;1.4791096224235397e+19;87571.79372169869;0.0;26478156.096276253;34.62474544523317;39758223.34417791;37094910.82698907;2663312.5171888373;20022885.547751546;63912174.8446341;0.09925320638111856;116016147.08182666;213960203.67257532;-20619930.489697583;4131065.952704644;0.0;90009090.63129418;0.0;381240.30961618444;90390330.94091035;0.0;1172909.70330068
1.72;61.389719427364305;1.4021004148350736e+19;82009.23166511657;0.0;26590765.10232938;35.12116179850797;48973674.09197913;47497622.81790326;1476051.274075872;11072244.432005795;63558872.612478696;0.09735020643795275;107003928.59831828;224375779.27598214;-20543794.483892642;3512954.08849377;0.0;90009090.63129418;0.0;140547.08351389546;90149637.71480808;0.0;1172909.70330068
1.73;60.69950272644389;1.383085397997812e+19;78739.65476259701;0.0;26687762.03681563;37.40094968466858;56828555.09902088;56354188.20120068;474366.897820203;3562187.7835335447;63355843.410070285;0.08782737100422891;98123794.54045029;234464709.53399932;-20511463.354286425;2965100.527515853;0.0;90009090.63129418;0.0;34514.815591739476;90043605.44688591;0.0;1172909.70330068
1.74;60.55730136844069;1.4061455546851125e+19;78070.93130451435;0.0;26640106.1557123;0.0;60590015.09080691;60590015.09080691;0.0;13569.582550799103;63368984.47558188;0.06281683180197545;95451332.93077907;236543273.52930173;-20512110.725531418;2765399.802224172;0.0;90009090.63129418;0.0;0.0;90009090.63129418;0.0;1172909.70330068
1.75;60.534021716951266;1.4048726429167555e+19;78080.83979271044;0.0;26648235.62647269;0.0;60589866.12627159;60589866.12627159;0.0;13391.254974134092;63360855.00482149;0.06153805234101723;95212364.33526957;236883553.29940075;-20512373.195064448;2757597.623575765;0.0;90009090.63129418;0.0;0.0;90009090.63129418;0.0;1172909.70330068
1.76;60.54909475078147;1.4044376983871705e+19;78096.31475585628;0.0;26643364.0239904;0.0;60593431.64695398;60593431.64695398;0.0;9426.072380795076;63365726.607303776;0.0503260273995708;95371976.65092066;236663230.04891017;-20514674.46361895;2762868.8879690045;0.0;90009090.63129418;0.0;0.0;90009090.63129418;0.0;1172909.70330068
1.77;60.49322971612385;1.4055194292087374e+19;78073.9152383435;0.0;26662153.692887753;0.0;60593790.31218247;60593790.31218247;0.0;9502.957875909822;63346936.93840642;0.05934125086690127;94789555.59541887;237479811.91047746;-20512824.08865223;2743643.668348042;0.0;90009090.63129418;0.0;0.0;90009090.63129418;0.0;1172909.70330068
1.78;60.51100901598754;1.4046939337065583e+19;78067.7007285507;0.0;26654779.532162726;0.0;60592431.52147475;60592431.52147475;0.0;12389.121259645644;63354311.09913145;0.06296578016407044;94957538.12283847;237219931.04100284;-20512080.153873272;2749490.4563970584;0.0;90009090.63129418;0.0;0.0;90009090.63129418;0.0;1172909.70330068
1.79;60.52255709548193;1.404976685748787e+19;78063.4803061742;0.0;26651941.7226663;0.0;60592953.02833527;60592953.02833527;0.0;10708.027870424918;63357148.908627875;0.06204111481470353;95090971.5697385;237051132.21524632;-20512269.941472117;2753487.852422176;0.0;90009090.63129418;0.0;0.0;90009090.63129418;0.0;1172909.70330068
1.8;60.57459192905332;1.40522018707707e+19;78084.69403767765;0.0;26633638.51317685;0.0;60591432.41125539;60591432.41125539;0.0;12956.338977532128;63375452.118117325;0.06334100625466467;95623468.7537404;236290536.58464333;-20512003.138706543;2771063.3678844003;0.0;90009090.63129418;0.0;0.0;90009090.63129418;0.0;1172909.70330068
